label,text
0,We were greeted in an inquisitive but friendly manner and handed a coconut fresh from the tree . 
0,"In the flat below , a teenage couple quarrelled about whether it was safe to leave the baby and go down to the pub ."
0,"The phrase '' Protocols-style '' carries a critical rhetoric , suggesting that the authors wished to distance themselves from the traditions of the conspiracy theory ."
0,By its light Rachaela saw Adamus lie Ruth on her back on top of the piano .
0,"Widowed at twenty-two , left with a small baby ."
0,John Wain was wrong about the Hiroshima pilot .
1,You can choose between a 6 string and a 7 string .
0,"It is also possible to use a large ice-cream carton , cut as shown in the drawing ."
0,She took Zoe 's mug and poured her fresh coffee .
0,Somebody even had a violin .
0,The key was around his neck on a piece of string .
0,"A thing of great beauty , it was not unusual to hear sharp intakes of breath as people beheld it for the first time ."
0,Firemen gave on-the-spot First Aid and the injured were rushed to the Moyle hospital by ambulance and treated for minor injuries after the accident at 10 pm .
1,We were just trying to keep him comfortable and were doing what the ambulance told us to do on the phone .
0,"As one of the authors of that publication , I am offering a brief summary of it here ."
1,To see big wheels coming quite close to you is quite daunting . 
1,Susan was feeling well and the family planned a cottage on Sparrow Lake for a week . 
1,"She was never taken out of the bed , until the ambulance came and took her out the bed this morning ."
0,He stayed for as long as it took him to finish his beer .
0,Rubber passed coconuts in importance as an export crop in the first decade of the twentieth century .
0,"This produces the stress of tiring ambulance journeys , the long wait in the clinic and not seeing the same staff at each visit ."
0,A graduate scientist is required in the Measurement and Instrumentation Section to work on a range of projects concerning analysis of beer and its raw materials .
0,I took a Travelsphere eight day trip between Tokyo and Kyoto with some extra visits including a trip to Hiroshima .
0,"Many authors accept this equation implicitly , but there are a number of problems with it ."
0,"But when she got into the car at five , ready for the fifteen-mile drive across London , it would n't start ."
0,It 's the most noticeable feature of the Mystique design and is a system which elongates the 10 outer strings .
0,"'' You 'll practise on your harp , and you 'll soon be making your own songs again . ''"
0,Five thousand ambulance drivers can not do their own negotiating -- they need representatives to do it for them .
1,"Not long after takeoff from Madrid , the airplane discovers a problem with the landing gear ."
0,"Instead , she watched through the ambulance windscreen , her heart in her mouth as the plane lost height and approached the runway ."
0,"Four men-at-arms rode alongside , and bringing up the rear was another monk herding a flock of sheep and goats ."
0,Modern buses are not the same .
0,"He paused , drank beer , sighed ."
1,Ken Domon ’s post- war images included those of survivors of Hiroshima . 
0,'' As a child my hobby was building model airplanes .
0,"Three rusted iron wheels remain at the site , but otherwise all that can be seen are foundations and watercourses ."
0,Read the storage ... on the outer carton .
1,Li performed and recorded violin . 
0,Recent books can be found in the catalogues published by Butterworth and Sweet and Maxwell .
0,"'' The ambulance has arrived , and you ca n't do anything more . ''"
1,Do not skip the doctor . 
1,Karma Strings played pop violin during the cocktail hour .
0,We did some demos and we asked Tony to come along and play keyboard .
1,The researchers say that the lasers are safe for human eyes and arranged in such a way that they should n't distract airplanes .
0,"We were as vulnerable , the programme made clear , as the Japanese were in Hiroshima in 1945 ."
1,"I sat at my kitchen table , my hands cupped around a big coffee . "
0,They shared a love of music Jeanne played the violin more than competently  Bach was a favourite composer .
0,"'' Maureen 's doing a grand job driving that ambulance , '' Carrie said ."
0,Someone handed him a can of beer and Rain knew he intended to stay some time .
0,"The description that follows is based on an article that appeared in the November 1989 issue of the IMS Journal , and additional material supplied by the authors ."
0,"Born at Casteldario in 1892 the '' Flying Mantuan '' , as he was known , started racing motorcycles in 1923 ."
1,"It was at the school where he met his good friend Peter Sprague , with whom he studied nylon string . "
1,But sometimes when reading an English author or watching television shows broadcast on BBC I hear unusual expressions .
1,The tune opens the record with an in- your- face bass drum juxtaposed with that ephemeral keyboard floating on top .
1,He attempts to drink some milk while driving but pours the carton over his face . 
0,"There was a guitar on the table , and a frilled black silk shirt hanging up behind the door ."
0,"The following structured programme has been designed , modified and run by the authors on numerous occasions over the last five years ."
0,Malcolm is a former ambulance driver and Joan is a nurse .
0,The fan who had given him the pen had had L. M. inscribed on it .
1,His student Tiana Lam moved the event forward with spiritual violin .
0,"In 1945 , Hiroshima and Nagasaki became the first two cities in human history to suffer indescribable nuclear devastation ."
0,It 's the sound of an unborn baby 's heartbeat .
0,"Dalgliesh took the baby from her while Theresa helped the children into the Jaguar and commanded with sudden fierceness , '' Sit still . ''"
0,A good stringer will know the right string and tension for you .
1,"The tracks are more reminiscent of his former band 's later work , but with electronic beats and keyboard mixed in throughout ."
0,"Often , ill or retarded babies were thought to be changelings and were miserably tortured in an attempt to force them to revert to fairy form ."
0,A sense of movement may be given by scoring for an instrument such as the harp or celesta which can play scales or arpeggios against the static background .
0,The investigators have begun a follow-up study of eight babies from the age of 2 months to establish the pattern of development in the first year of life .
1,He exhales a puff of cigar and flashes what passes for a smile .
0,"I wrote to tell him this , and also referring to another book he had sent me , and I received a reply dated 19 March 1937 ."
0,"It contains over 6,000 instruments which span centuries from these paleolithic reindeer bone whistles , to the harp which belonged to Queen Victoria 's Welsh harpist ."
0,She described the extraordinary tameness of the animals in the wild game parks and conveyed to her audience the beauty of the scenery .
1,Do you know how I felt when I heard your keyboard ?
1,"And , she also had to spend RM10 per day for boat and bus since they lived on Berhala Island ."
0,He was part of a detachment escorting a civilian ambulance carrying wounded people .
0,... nothing could equal the artistic splendour of its architecture and the beauty of its interiors ...
1,He also walked around in public with pen smudged on his face .
0,"An endless walk it seemed to Gabriel , watching through the slatted door of the barn ."
1,DePaul 's review of intercity bus services found buses were 52 percent lower than rail fares and 79 percent cheaper than advance- purchased airfares . 
0,"Due to the topography of Nagasaki with its hills and rivers , damage was far less than Hiroshima ."
